"species","sensor_node","soil_sensor","plot_name","year","date_YYYY.MM.DD","surveyed_by","multi.hit_or_top.hit","abundance","Note","USDA_code","corrected_NWT_name","category","group","growth_habit"
"DESCAE",17,2,17.2,2018,"7/20/18","Jane G. Smith and LH","multi-hit",37,"","DECE","Deschampsia caespitosa","vascular","monocot","graminoid"
"Rock",10,2,10.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",25,"","2RF","Rock","nonveg","nonveg","nonveg"
"Soil",12,2,12.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","top-hit",3,"","2BARE","Soil","nonveg","nonveg","nonveg"
"TRIDAS",10,2,10.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",10,"","TRDA2","Trifolium dasyphyllum","vascular","dicot","forb"
"SOLMUL",14,2,14.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"Confirmed","SOMU","Solidago multiradiata","vascular","dicot","forb"
"CARNOV",8,2,8.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",1,"","CANO3","Carex nova","vascular","monocot","graminoid"
"CALPUR",10,2,10.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",2,"","CAPU","Calamagrostis purpurascens","vascular","monocot","graminoid"
"TRIDAS",15,1,15.1,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",2,"","TRDA2","Trifolium dasyphyllum","vascular","dicot","forb"
"PACCRO",12,2,12.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","multi-hit",1,"Located on edge closest to camera, about 1/5 of the way from the sensor tubing edge","PACR5","Senecio crocatus","vascular","dicot","forb"
"PEDGRO",17,2,17.2,2018,"7/20/18","Jane G. Smith and LH","top-hit",3,"","PEGR2","Pedicularis groenlandica","vascular","dicot","forb"
"POAALP",15,1,15.1,2018,"7/15/18","Nancy Emery & William Bowman","multi-hit",1,"","POAL2","Poa alpina","vascular","monocot","graminoid"
"DANINT",19,2,19.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","multi-hit",27,"May have been mis-ID'd as CARSCO in 2017 (fixed - with note - in 2017 data)","DAIN","Danthonia intermedia","vascular","monocot","graminoid"
"PHLPUL",9,2,9.2,2018,"7/20/18","Kelsey Elwood and Jane G. Smith","top-hit",1,"","PHPU5","Phlox pulvinata","vascular","dicot","forb"
"ARTSCO",16,2,16.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",4,"","ARSC","Artemisia scopulorum","vascular","dicot","forb"
"ERYCAP",9,2,9.2,2018,"7/20/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"Unconfirmed; Originally listed as MERLAN, but Jane G. Smith reviewed and thinks it is likely ERYCAP","ERCA14","Erysimum capitatum","vascular","dicot","forb"
"GENALG",21,3,21.3,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",1,"","GEAL2","Gentiana algida","vascular","dicot","forb"
"Unknown_seedling",13,2,13.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","multi-hit",2,"Unidentifiable because it was too small","2PLANT","NaN","vascular","",""
"ACOROS",18,2,18.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",12,"","GEROT","Acomastylis rossii","vascular","dicot","forb"
"Litter",9,2,9.2,2018,"7/20/18","Kelsey Elwood and Jane G. Smith","top-hit",7,"","2LTR","Litter","nonveg","nonveg","nonveg"
"AREFEN",16,2,16.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",4,"","ARFET3","Arenaria fendleri var. tweedyi","vascular","dicot","forb"
"CERARV",16,2,16.2,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",3,"","CEARS2","Cerastium arvense var. latifolium","vascular","dicot","forb"
"TETGRA",16,2,16.2,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","TEGR3","Hymenoxys grandiflora","vascular","dicot","forb"
"BISBIS",15,1,15.1,2018,"7/15/18","Nancy Emery & William Bowman","multi-hit",0.5,"","POBI6","Bistorta bistortoides","vascular","dicot","forb"
"POTDIV",8,2,8.2,2018,"7/13/18","Kelsey Elwood and Jane G. Smith","top-hit",5,"","PODI2","Potentilla diversifolia","vascular","dicot","forb"
"Litter",21,3,21.3,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",5,"","2LTR","Litter","nonveg","nonveg","nonveg"
"Litter",19,2,19.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","top-hit",5,"","2LTR","Litter","nonveg","nonveg","nonveg"
"ARTSCO",7,2,7.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","multi-hit",11,"","ARSC","Artemisia scopulorum","vascular","dicot","forb"
"ERINAN",9,2,9.2,2018,"7/20/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","ERNA","Eritrichium aretioides","vascular","dicot","forb"
"AREFEN",20,2,20.2,2018,"7/11/18","Kelsey Elwood and Jane G. Smith","top-hit",3,"","ARFET3","Arenaria fendleri var. tweedyi","vascular","dicot","forb"
"CARSIC",11,2,11.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",38,"","CASI12","Carex foenea","vascular","monocot","graminoid"
"AGOGLA",17,2,17.2,2018,"7/20/18","Jane G. Smith and LH","top-hit",0.5,"","AGGLG","Agoseris glauca var. glauca","vascular","dicot","forb"
"STELON",19,2,19.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","top-hit",0.5,"","STLO2","Stellaria longipes","vascular","dicot","forb"
"RHOINT",7,2,7.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","top-hit",0,"","RHIN11","Rhodiola integrifolia","vascular","dicot","forb"
"BISBIS",19,2,19.2,2018,"7/18/18","Kelsey Elwood, Nancy Emery, and Jane G. Smith","top-hit",1,"","POBI6","Bistorta bistortoides","vascular","dicot","forb"
"FESBRA",9,2,9.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",4,"","FEBR","Festuca brachyphylla","vascular","monocot","graminoid"
"CARHET",15,1,15.1,2018,"7/15/18","Nancy Emery & William Bowman","multi-hit",19,"","CAHEC","Carex chalciolepis","vascular","monocot","graminoid"
"POAGLA",9,2,9.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",1,"Noted as POAARC in field, but previous field samples were confirmed at this plot to be POAGLA","POGLR2","Poa glauca var. rupicola","vascular","monocot","graminoid"
"FESBRA",10,2,10.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",2,"","FEBR","Festuca brachyphylla","vascular","monocot","graminoid"
"ALLGEY",17,2,17.2,2018,"7/20/18","Jane G. Smith and LH","top-hit",0.5,"Confirmed","ALGE","Allium geyeri","vascular","monocot","forb"
"TRIPAR",8,2,8.2,2018,"7/20/18","Nancy Emery & William Bowman","multi-hit",12,"","TRPAP","Trifolium parryi ssp. parryi","vascular","dicot","forb"
"MINOBT",9,2,9.2,2018,"7/20/18","Kelsey Elwood and Jane G. Smith","top-hit",0.5,"","MIOB2","Minuartia obtusiloba","vascular","dicot","forb"
